run,arm,setting,n_logged,mean_abs_rho,sd_trial_sr,adaptivity,li_ji_meff
OPTM-SYNA05-00-s9002,OPT-medium,SYNA05,221,0.14771480966353054,0.5675616975986568,0.791532,56.999999999999986
OPTM-SYNA05-01-s9000,OPT-medium,SYNA05,146,0.15558208754850245,0.6135571529183408,0.9304338333333333,59.0
OPTM-SYNA05-01-s9001,OPT-medium,SYNA05,197,0.17431218458559453,0.7055536419739451,0.6232279999999999,49.99999999999999
OPTM-SYNA05-01-s9002,OPT-medium,SYNA05,118,0.2637289795518285,0.6974296342164423,1.0600479999999999,40.000000000000036
OPTM-SYNA05-02-s9000,OPT-medium,SYNA05,217,0.14917020231315628,0.4735802796643086,0.1805381666666666,54.99999999999998
OPTM-SYNA05-02-s9001,OPT-medium,SYNA05,138,0.15622217161638896,0.41783241167917123,0.49833999999999995,51.99999999999998
OPTM-SYNA05-02-s9002,OPT-medium,SYNA05,205,0.21740246335656688,0.4862849717465875,0.690836,42.0
OPTM-SYNA05-03-s9000,OPT-medium,SYNA05,161,0.14833428146218966,0.4795760700134199,0.7184616666666669,51.99999999999997
OPTM-SYNA05-03-s9001,OPT-medium,SYNA05,207,0.1619245608899893,0.5635323745938094,0.5625199999999999,58.00000000000003
OPTM-SYNA05-03-s9002,OPT-medium,SYNA05,172,0.14088416888806024,0.5533970512737709,0.6196160000000001,56.0
OPTM-SYNA10-00-s9000,OPT-medium,SYNA10,148,0.1793794538134335,0.8303844705099768,0.47797066666666665,49.00000000000001
OPTM-SYNA10-00-s9001,OPT-medium,SYNA10,172,0.1511570994131671,0.8283295127370348,0.859244,57.99999999999999
OPTM-SYNA10-00-s9002,OPT-medium,SYNA10,190,0.163318942148006,0.8878516198771952,0.943908,52.99999999999996
OPTM-SYNA10-01-s9000,OPT-medium,SYNA10,183,0.16585928435218392,0.5888239124564812,0.2688258333333333,44.99999999999997
OPTM-SYNA10-01-s9001,OPT-medium,SYNA10,158,0.14511381665872583,0.6419002804898389,0.6907639999999999,55.00000000000004
OPTM-SYNA10-01-s9002,OPT-medium,SYNA10,229,0.24543619488432702,0.6749324005073895,0.885324,41.999999999999986
OPTM-SYNA10-02-s9000,OPT-medium,SYNA10,164,0.19166052402301173,0.7651139610061477,0.4199791666666667,49.000000000000014
OPTM-SYNA10-02-s9001,OPT-medium,SYNA10,138,0.16596149719550687,0.6643939234693175,0.9215200000000001,48.99999999999997
OPTM-SYNA10-02-s9002,OPT-medium,SYNA10,216,0.16782936587844044,0.8381856681763328,1.2651,49.999999999999986
OPTM-SYNA10-03-s9000,OPT-medium,SYNA10,147,0.17799546159325552,0.6252122567467744,1.230946,44.99999999999998
OPTM-SYNA10-03-s9001,OPT-medium,SYNA10,144,0.15332688780838744,0.6925613648098596,1.1633959999999999,52.999999999999964
