run,arm,panel,setting,ckpt,rule,sr_is,sr_oos,decay,n_logged,legs,cplx,turnover
AGB-SYN0-00,AGENT,SYN0-00,SYN0,B,chosen,2.561366618100155,-1.257415448033591,3.818782066133746,300,6.0,27.666666666666668,
AGB-SYN0-01,AGENT,SYN0-01,SYN0,B,argmax,2.294191029224077,-0.7224946321817942,3.0166856614058712,300,3.3333333333333335,12.0,0.3896291498948941
AGB-SYN0-01,AGENT,SYN0-01,SYN0,B,chosen,2.2618359944509034,-0.6976940282956607,2.959530022746564,300,3.6666666666666665,13.666666666666666,
AGB-SYN0-02,AGENT,SYN0-02,SYN0,B,argmax,3.3522862629500936,-0.25240690765203155,3.604693170602125,300,3.6666666666666665,23.0,0.07883926666666667
AGB-SYN0-02,AGENT,SYN0-02,SYN0,B,chosen,3.1824816187678384,-0.09787905442672425,3.2803606731945627,300,3.3333333333333335,21.666666666666668,
CS-REAL-s9500,CANON-SAMPLER,REAL,REAL,A,argmax,1.9595160661812185,0.9927870436807781,0.9667290225004405,114,1.0,3.0,0.436054519572586
CS-REAL-s9500,CANON-SAMPLER,REAL,REAL,A,chosen,1.9595160661812185,0.9927870436807781,0.9667290225004405,114,1.0,3.0,
CS-REAL-s9501,CANON-SAMPLER,REAL,REAL,A,argmax,1.8507412284212859,1.0437123480843715,0.8070288803369143,106,1.0,3.0,0.4082567503591063
CS-REAL-s9501,CANON-SAMPLER,REAL,REAL,A,chosen,1.8507412284212859,1.0437123480843715,0.8070288803369143,106,1.0,3.0,
CS-REAL-s9502,CANON-SAMPLER,REAL,REAL,A,argmax,2.008901882245502,1.003632388304405,1.0052694939410969,108,1.0,3.0,0.42442977178664437
CS-REAL-s9502,CANON-SAMPLER,REAL,REAL,A,chosen,2.008901882245502,1.003632388304405,1.0052694939410969,108,1.0,3.0,
CS-REAL-s9503,CANON-SAMPLER,REAL,REAL,A,argmax,1.6692248698745702,1.041422087896413,0.6278027819781571,106,1.0,3.0,0.4062958813218213
CS-REAL-s9503,CANON-SAMPLER,REAL,REAL,A,chosen,1.6692248698745702,1.041422087896413,0.6278027819781571,106,1.0,3.0,
CS-REAL-s9504,CANON-SAMPLER,REAL,REAL,A,argmax,1.4721871708877765,1.3524332203095053,0.1197539505782712,105,1.0,3.0,0.5502197604985338
CS-REAL-s9504,CANON-SAMPLER,REAL,REAL,A,chosen,1.4721871708877765,1.3524332203095053,0.1197539505782712,105,1.0,3.0,
CS-SYN0-00-s9500,CANON-SAMPLER,SYN0-00,SYN0,A,argmax,0.9039987820672135,-0.5373271514845378,1.4413259335517514,114,1.0,3.3333333333333335,0.31945286666666667
CS-SYN0-00-s9500,CANON-SAMPLER,SYN0-00,SYN0,A,chosen,0.9039987820672135,-0.5373271514845378,1.4413259335517514,114,1.0,3.3333333333333335,
CS-SYN0-00-s9501,CANON-SAMPLER,SYN0-00,SYN0,A,argmax,0.8857250783455745,-0.8873076890079254,1.7730327673535,106,1.0,3.3333333333333335,0.23191715000000002
CS-SYN0-00-s9501,CANON-SAMPLER,SYN0-00,SYN0,A,chosen,0.8857250783455745,-0.8873076890079254,1.7730327673535,106,1.0,3.3333333333333335,
CS-SYN0-01-s9500,CANON-SAMPLER,SYN0-01,SYN0,A,argmax,0.9127698149502045,-0.5998682552601092,1.5126380702103137,114,1.0,2.6666666666666665,0.11054383333333334
CS-SYN0-01-s9500,CANON-SAMPLER,SYN0-01,SYN0,A,chosen,0.9127698149502045,-0.5998682552601092,1.5126380702103137,114,1.0,2.6666666666666665,
CS-SYN0-01-s9501,CANON-SAMPLER,SYN0-01,SYN0,A,argmax,1.0832405535035459,-0.5070015396260518,1.5902420931295977,106,1.0,2.6666666666666665,0.17269598333333336
CS-SYN0-01-s9501,CANON-SAMPLER,SYN0-01,SYN0,A,chosen,1.0832405535035459,-0.5070015396260518,1.5902420931295977,106,1.0,2.6666666666666665,
CS-SYN0-02-s9500,CANON-SAMPLER,SYN0-02,SYN0,A,argmax,1.116537328984553,-0.6590277581098641,1.7755650870944173,114,1.0,3.0,0.4249875
CS-SYN0-02-s9500,CANON-SAMPLER,SYN0-02,SYN0,A,chosen,1.116537328984553,-0.6590277581098641,1.7755650870944173,114,1.0,3.0,
CS-SYN0-02-s9501,CANON-SAMPLER,SYN0-02,SYN0,A,argmax,0.935462113268325,-0.95195772130312,1.8874198345714448,106,1.0,2.6666666666666665,0.5518152333333333
