N,k,sr_train,sr_oos,sr_train_sd,panel
200,2,1.4014352387994415,-0.17706146357167182,0.14939320372857287,SYN0-07
200,3,1.4884266013419352,-0.1088849079173283,0.15789133614409762,SYN0-07
200,5,1.6162669773370095,0.04603864813068098,0.1740595340372653,SYN0-07
200,8,1.6752789137598978,0.2302487253380146,0.20302949866616699,SYN0-07
200,12,1.8426355242293349,0.1842875892168675,0.227005933136644,SYN0-07
200,20,2.1226716342979017,-0.19467257346835928,0.20495662458197983,SYN0-07
400,1,1.2459932880026117,-0.15895936043206454,0.0013708102057955925,SYN0-07
400,2,1.5060409785336422,-0.24372872885391172,0.12129566275888932,SYN0-07
400,3,1.4627842690213628,-0.24963538762097812,0.1010095543215893,SYN0-07
400,5,1.4740050642305933,-0.20906644089150525,0.11262921680370648,SYN0-07
400,8,1.6680463285990317,-0.09520839094174034,0.10274350672386529,SYN0-07
400,12,1.7841350148995292,0.09558281395144806,0.1142301999771614,SYN0-07
400,20,1.7921771500287509,0.27904278119277776,0.1346434119758193,SYN0-07
25,1,0.9558020723344057,0.2752976461425742,0.242912938210076,SYN0-08
25,2,1.082148542852631,0.19430949419347054,0.31671355722157407,SYN0-08
25,3,1.0748371603278233,0.27086678415908877,0.33365431000348844,SYN0-08
25,5,1.0134028014934757,0.34085541797172647,0.3347790230441145,SYN0-08
25,8,0.9574540179702248,0.2359952257528193,0.32929351571579035,SYN0-08
25,12,0.769123600960871,0.19717883477257736,0.30470170727170776,SYN0-08
25,20,0.24222157735141844,0.185424742084818,0.32208767628158474,SYN0-08
50,1,1.0908360623864508,0.07240117393856439,0.20725404724390237,SYN0-08
50,2,1.266340219838598,0.3900310219151409,0.31040933520172187,SYN0-08
50,3,1.3591519380723005,0.2417943016626488,0.3644505592226408,SYN0-08
50,5,1.391110211909488,0.31081127708735345,0.3729097796415491,SYN0-08
50,8,1.3323338392560837,0.36756056494840705,0.37625894667485726,SYN0-08
50,12,1.1655579829746205,0.4492959635483398,0.3277726508084415,SYN0-08
50,20,0.9981523176001689,0.36610176871513667,0.2567830103947473,SYN0-08
100,1,1.2166239462611192,-0.13136033612544026,0.19000039479763586,SYN0-08
100,2,1.479734165620007,-0.051343243065281936,0.3216840253622657,SYN0-08
100,3,1.6201860863563764,0.08312313477761495,0.37112738113329274,SYN0-08
100,5,1.7157301408180257,0.46360846669542183,0.3870724773224471,SYN0-08
100,8,1.7394636001553283,0.27351015103337734,0.3845134492696299,SYN0-08
100,12,1.6722738227040506,0.29404231887048105,0.3613923609737791,SYN0-08
100,20,1.4363418521870313,0.5075278332508588,0.28838416658731664,SYN0-08
200,1,1.3543482822923707,-0.19099009293574942,0.18286166756556654,SYN0-08
200,2,1.717896303692469,-0.4050177858321304,0.28365880571404084,SYN0-08
200,3,1.9061664969788572,-0.41588271712346325,0.29179935685617053,SYN0-08
200,5,2.0910532352793125,0.017512278201957575,0.3753744861243177,SYN0-08
200,8,2.076410443474294,0.5518044192804958,0.39873498672863705,SYN0-08
200,12,2.0389692606172347,0.6189887346868955,0.34482609125566804,SYN0-08
200,20,1.981584570138145,0.21481551484221145,0.31944045297362755,SYN0-08
400,1,1.495831402673449,-0.04288944285084477,0.11705325130521303,SYN0-08
400,2,2.0103941137505745,0.00042290654712227036,0.17874396726944589,SYN0-08
400,3,2.211696270436762,-0.5494781795179774,0.22501032991899303,SYN0-08
400,5,2.53677345264545,-1.0986077829420953,0.2017934281713387,SYN0-08
400,8,2.7009826498524707,-0.24296765047160684,0.28629823082524264,SYN0-08
