run,arm,panel,legs,cplx,best_is,setting
OPTH-REAL-s9003,OPT-hard,REAL,1.0,12.333333333333334,1.5744,REAL
OPTH-REAL-s9004,OPT-hard,REAL,1.0,2.6666666666666665,1.3439,REAL
OPTH-SYN0-00-s9000,OPT-hard,SYN0-00,1.0,12.0,1.4066,SYN0
OPTH-SYN0-00-s9001,OPT-hard,SYN0-00,1.6666666666666667,11.0,1.7353,SYN0
OPTH-SYN0-00-s9002,OPT-hard,SYN0-00,1.0,17.0,1.9467,SYN0
OPTH-SYN0-01-s9000,OPT-hard,SYN0-01,1.0,1.3333333333333333,0.8347,SYN0
OPTH-SYN0-01-s9001,OPT-hard,SYN0-01,1.0,13.333333333333334,1.7314,SYN0
OPTH-SYN0-01-s9002,OPT-hard,SYN0-01,1.0,3.6666666666666665,0.9309,SYN0
OPTH-SYN0-02-s9000,OPT-hard,SYN0-02,3.3333333333333335,9.0,1.3606,SYN0
OPTH-SYN0-02-s9001,OPT-hard,SYN0-02,1.3333333333333333,5.0,1.2567,SYN0
OPTH-SYN0-02-s9002,OPT-hard,SYN0-02,1.0,4.666666666666667,1.1789,SYN0
OPTH-SYN0-03-s9000,OPT-hard,SYN0-03,1.0,14.0,1.6899,SYN0
OPTH-SYN0-03-s9001,OPT-hard,SYN0-03,1.3333333333333333,5.0,1.4752,SYN0
OPTH-SYN0-03-s9002,OPT-hard,SYN0-03,1.0,8.666666666666666,1.2475,SYN0
OPTH-SYN0-04-s9000,OPT-hard,SYN0-04,1.0,3.0,1.0541,SYN0
OPTH-SYN0-04-s9001,OPT-hard,SYN0-04,1.0,8.666666666666666,1.414,SYN0
OPTH-SYN0-04-s9002,OPT-hard,SYN0-04,2.3333333333333335,7.666666666666667,1.2486,SYN0
OPTH-SYN0-05-s9000,OPT-hard,SYN0-05,1.0,3.3333333333333335,1.2091,SYN0
OPTH-SYN0-05-s9001,OPT-hard,SYN0-05,1.0,4.0,1.5502,SYN0
OPTH-SYN0-05-s9002,OPT-hard,SYN0-05,1.0,4.666666666666667,1.5703,SYN0
OPTH-SYN0-06-s9000,OPT-hard,SYN0-06,1.0,1.0,1.1614,SYN0
OPTH-SYN0-06-s9001,OPT-hard,SYN0-06,1.0,5.666666666666667,1.1913,SYN0
OPTH-SYN0-06-s9002,OPT-hard,SYN0-06,1.0,1.0,1.1614,SYN0
OPTH-SYN0-07-s9000,OPT-hard,SYN0-07,1.0,5.0,1.2764,SYN0
OPTH-SYN0-07-s9001,OPT-hard,SYN0-07,1.0,1.6666666666666667,1.2396,SYN0
OPTH-SYN0-07-s9002,OPT-hard,SYN0-07,1.0,1.6666666666666667,1.2915,SYN0
OPTH-SYN0-08-s9000,OPT-hard,SYN0-08,1.0,3.3333333333333335,0.9682,SYN0
OPTH-SYN0-08-s9001,OPT-hard,SYN0-08,3.3333333333333335,7.666666666666667,1.5276,SYN0
OPTH-SYN0-08-s9002,OPT-hard,SYN0-08,2.3333333333333335,6.666666666666667,1.0587,SYN0
OPTH-SYN0-09-s9000,OPT-hard,SYN0-09,3.0,13.666666666666666,1.7732,SYN0
OPTH-SYN0-09-s9001,OPT-hard,SYN0-09,1.0,2.6666666666666665,1.8221,SYN0
OPTH-SYN0-09-s9002,OPT-hard,SYN0-09,1.0,12.333333333333334,1.6333,SYN0
OPTH-SYN0-10-s9000,OPT-hard,SYN0-10,1.0,3.3333333333333335,0.9773,SYN0
OPTH-SYN0-10-s9001,OPT-hard,SYN0-10,1.0,9.0,1.6219,SYN0
OPTH-SYN0-10-s9002,OPT-hard,SYN0-10,1.0,11.666666666666666,1.3654,SYN0
OPTH-SYN0-11-s9000,OPT-hard,SYN0-11,3.0,6.0,1.1249,SYN0
OPTH-SYN0-11-s9001,OPT-hard,SYN0-11,2.3333333333333335,9.666666666666666,2.0277,SYN0
OPTH-SYN0-11-s9002,OPT-hard,SYN0-11,1.0,4.0,1.229,SYN0
OPTM-REAL-s9000,OPT-medium,REAL,1.0,2.3333333333333335,1.4169,REAL
OPTM-REAL-s9001,OPT-medium,REAL,1.0,6.0,1.4344,REAL
OPTM-REAL-s9002,OPT-medium,REAL,1.0,5.666666666666667,1.3312,REAL
OPTM-REAL-s9003,OPT-medium,REAL,1.0,6.333333333333333,1.7139,REAL
OPTM-REAL-s9004,OPT-medium,REAL,1.0,2.6666666666666665,1.2524,REAL
OPTM-SYN0-00-s9000,OPT-medium,SYN0-00,1.0,5.333333333333333,1.6475,SYN0
OPTM-SYN0-00-s9001,OPT-medium,SYN0-00,1.0,5.666666666666667,1.7353,SYN0
OPTM-SYN0-00-s9002,OPT-medium,SYN0-00,1.0,10.666666666666666,1.545,SYN0
OPTM-SYN0-01-s9000,OPT-medium,SYN0-01,1.0,2.6666666666666665,1.0685,SYN0
