run,arm,panel,setting,rule,sr_is,sr_oos,decay
OPTH-SYN0-00-s9000,OPT-hard,SYN0-00,SYN0,argmax,1.776301624810817,0.9634412715543753,0.8128603532564417
OPTH-SYN0-00-s9001,OPT-hard,SYN0-00,SYN0,chosen,1.8741621385586313,-0.14490588675764146,2.019068025316273
OPTH-SYN0-00-s9001,OPT-hard,SYN0-00,SYN0,argmax,1.8741621385586313,-0.14490588675764146,2.019068025316273
OPTH-SYN0-00-s9002,OPT-hard,SYN0-00,SYN0,chosen,1.9466638501985916,-0.7091370372838869,2.6558008874824783
OPTH-SYN0-00-s9002,OPT-hard,SYN0-00,SYN0,argmax,1.9466638501985916,-0.7091370372838869,2.6558008874824783
OPTH-SYN0-01-s9000,OPT-hard,SYN0-01,SYN0,chosen,1.0994741376575903,-2.2663715537539146,3.365845691411505
OPTH-SYN0-01-s9000,OPT-hard,SYN0-01,SYN0,argmax,1.0994741376575903,-2.2663715537539146,3.365845691411505
OPTH-SYN0-01-s9001,OPT-hard,SYN0-01,SYN0,chosen,1.7791724782626996,-0.06781641055446602,1.8469888888171657
OPTH-SYN0-01-s9001,OPT-hard,SYN0-01,SYN0,argmax,1.7791724782626996,-0.06781641055446602,1.8469888888171657
OPTH-SYN0-01-s9002,OPT-hard,SYN0-01,SYN0,chosen,0.9671552364471974,-0.5025975213990858,1.4697527578462832
OPTH-SYN0-01-s9002,OPT-hard,SYN0-01,SYN0,argmax,0.9671552364471974,-0.5025975213990858,1.4697527578462832
OPTH-SYN0-02-s9000,OPT-hard,SYN0-02,SYN0,chosen,1.3856204878447698,1.2547988232808125,0.13082166456395727
OPTH-SYN0-02-s9000,OPT-hard,SYN0-02,SYN0,argmax,1.3856204878447698,1.2547988232808125,0.13082166456395727
OPTH-SYN0-02-s9001,OPT-hard,SYN0-02,SYN0,chosen,1.2511294524905767,0.10029639891793271,1.150833053572644
OPTH-SYN0-02-s9001,OPT-hard,SYN0-02,SYN0,argmax,1.2511294524905767,0.10029639891793271,1.150833053572644
OPTH-SYN0-02-s9002,OPT-hard,SYN0-02,SYN0,chosen,1.245468977155394,1.0427347903272317,0.20273418682816224
OPTH-SYN0-02-s9002,OPT-hard,SYN0-02,SYN0,argmax,1.245468977155394,1.0427347903272317,0.20273418682816224
OPTH-SYN0-03-s9000,OPT-hard,SYN0-03,SYN0,chosen,1.608372665376953,-0.7920442963186132,2.400416961695566
OPTH-SYN0-03-s9000,OPT-hard,SYN0-03,SYN0,argmax,1.608372665376953,-0.7920442963186132,2.400416961695566
OPTH-SYN0-03-s9001,OPT-hard,SYN0-03,SYN0,chosen,1.9597921189971126,0.9264864156944381,1.0333057033026745
OPTH-SYN0-03-s9001,OPT-hard,SYN0-03,SYN0,argmax,1.9597921189971126,0.9264864156944381,1.0333057033026745
OPTH-SYN0-03-s9002,OPT-hard,SYN0-03,SYN0,chosen,1.4895155714432164,0.672689930616954,0.8168256408262624
OPTH-SYN0-03-s9002,OPT-hard,SYN0-03,SYN0,argmax,1.4895155714432164,0.672689930616954,0.8168256408262624
OPTH-SYN0-04-s9000,OPT-hard,SYN0-04,SYN0,chosen,1.803088285800735,0.7982061605033155,1.0048821252974196
OPTH-SYN0-04-s9000,OPT-hard,SYN0-04,SYN0,argmax,1.803088285800735,0.7982061605033155,1.0048821252974196
OPTH-SYN0-04-s9001,OPT-hard,SYN0-04,SYN0,chosen,1.3432816931294171,1.1602550830415008,0.18302661008791632
OPTH-SYN0-04-s9001,OPT-hard,SYN0-04,SYN0,argmax,1.3432816931294171,1.1602550830415008,0.18302661008791632
OPTH-SYN0-04-s9002,OPT-hard,SYN0-04,SYN0,chosen,1.290811535504629,2.0055107249111255,-0.7146991894064965
OPTH-SYN0-04-s9002,OPT-hard,SYN0-04,SYN0,argmax,1.290811535504629,2.0055107249111255,-0.7146991894064965
OPTH-SYN0-05-s9000,OPT-hard,SYN0-05,SYN0,chosen,1.2090940102011838,0.715189260132674,0.49390475006850976
OPTH-SYN0-05-s9000,OPT-hard,SYN0-05,SYN0,argmax,1.2090940102011838,0.715189260132674,0.49390475006850976
OPTH-SYN0-05-s9001,OPT-hard,SYN0-05,SYN0,chosen,1.5914166641629204,1.1774335259905027,0.4139831381724177
